A!NET_NAME!REFDES!PIN_NUMBER!FUNC_LOGICAL_PATH!COMP_DEVICE_TYPE!FUNC_SCH_SIZE!FUNC_HAS_FIXED_SIZE!FUNC_DES!PIN_NET_SHORT!PIN_NO_SWAP_PIN!PIN_NO_PIN_ESCAPE!PIN_CDS_PINID!PIN_XNET_PINS!PIN_PIN_ESCAPE!PIN_PIN_SIGNAL_MODEL!PIN_NO_DRC!PIN_NO_SHAPE_CONNECT!
J!E:/master_WHU/voltage_control/00volt_ctrl_pcb/pcb/volt_ctrl.brd!Wed Jun  9 22:27:40 2021!-100.0000!-300.0000!700.0000!500.0000!0.0001!millimeters!VOLT_CTRL!28.800000 mil!4!UP TO DATE!
S!N106192!D1!1!@volt_ctrl.schematic1(sch_1):ins96635@discrete.\diode schottky.normal\(chips)!DIODE SCHOTTKY_DIODE_DFLS260_DFLS260!!!F164!!!!!!!!!!
S!48V!D1!2!@volt_ctrl.schematic1(sch_1):ins96635@discrete.\diode schottky.normal\(chips)!DIODE SCHOTTKY_DIODE_DFLS260_DFLS260!!!F164!!!!!!!!!!
S!N96106!L1!1!@volt_ctrl.schematic1(sch_1):ins109992@discrete.\inductor.normal\(chips)!INDUCTOR_SWPA5040S6R8MT_6.8UH!!!F157!!!!!!!!!!
S!N106192!L1!2!@volt_ctrl.schematic1(sch_1):ins109992@discrete.\inductor.normal\(chips)!INDUCTOR_SWPA5040S6R8MT_6.8UH!!!F157!!!!!!!!!!
S!VLOGIC!C1!1!@volt_ctrl.schematic1(sch_1):ins93171@discrete.\capacitor pol.normal\(chips)!CAPACITOR POL_2220_AVX-M_10UF!!!F321!!!!!!!!!!
S!GND!C1!2!@volt_ctrl.schematic1(sch_1):ins93171@discrete.\capacitor pol.normal\(chips)!CAPACITOR POL_2220_AVX-M_10UF!!!F321!!!!!!!!!!
S!48V!C104!1!@volt_ctrl.schematic1(sch_1):ins34434@discrete.\capacitor pol.normal\(chips)!CAPACITOR POL_2220_AVX-M_10UF!!!F320!!!!!!!!!!
S!GND!C104!2!@volt_ctrl.schematic1(sch_1):ins34434@discrete.\capacitor pol.normal\(chips)!CAPACITOR POL_2220_AVX-M_10UF!!!F320!!!!!!!!!!
S!48V!C110!1!@volt_ctrl.schematic1(sch_1):ins35539@discrete.\capacitor pol.normal\(chips)!CAPACITOR POL_2220_AVX-M_10UF!!!F319!!!!!!!!!!
S!GND!C110!2!@volt_ctrl.schematic1(sch_1):ins35539@discrete.\capacitor pol.normal\(chips)!CAPACITOR POL_2220_AVX-M_10UF!!!F319!!!!!!!!!!
S!48V!C116!1!@volt_ctrl.schematic1(sch_1):ins36644@discrete.\capacitor pol.normal\(chips)!CAPACITOR POL_2220_AVX-M_10UF!!!F318!!!!!!!!!!
S!GND!C116!2!@volt_ctrl.schematic1(sch_1):ins36644@discrete.\capacitor pol.normal\(chips)!CAPACITOR POL_2220_AVX-M_10UF!!!F318!!!!!!!!!!
S!48V!C122!1!@volt_ctrl.schematic1(sch_1):ins37749@discrete.\capacitor pol.normal\(chips)!CAPACITOR POL_2220_AVX-M_10UF!!!F317!!!!!!!!!!
S!GND!C122!2!@volt_ctrl.schematic1(sch_1):ins37749@discrete.\capacitor pol.normal\(chips)!CAPACITOR POL_2220_AVX-M_10UF!!!F317!!!!!!!!!!
S!48V!C128!1!@volt_ctrl.schematic1(sch_1):ins38854@discrete.\capacitor pol.normal\(chips)!CAPACITOR POL_2220_AVX-M_10UF!!!F316!!!!!!!!!!
S!GND!C128!2!@volt_ctrl.schematic1(sch_1):ins38854@discrete.\capacitor pol.normal\(chips)!CAPACITOR POL_2220_AVX-M_10UF!!!F316!!!!!!!!!!
S!48V!C134!1!@volt_ctrl.schematic1(sch_1):ins39959@discrete.\capacitor pol.normal\(chips)!CAPACITOR POL_2220_AVX-M_10UF!!!F315!!!!!!!!!!
S!GND!C134!2!@volt_ctrl.schematic1(sch_1):ins39959@discrete.\capacitor pol.normal\(chips)!CAPACITOR POL_2220_AVX-M_10UF!!!F315!!!!!!!!!!
S!48V!C14!1!@volt_ctrl.schematic1(sch_1):ins16919@discrete.\capacitor pol.normal\(chips)!CAPACITOR POL_2220_AVX-M_10UF!!!F314!!!!!!!!!!
